Year,Iberia,Italy,France,UK,Netherlands,Germany,Poland,Nordic,Hungary,Russia,Total,Britain
1346,0,0,0,0,0,0,0,0,0,0,0,0
1347,0,12,3,0,0,,,,2,,17,0
1348,34,31,47,22,0,4,,1,4,,143,18
1349,5,8,23,13,11,30,,12,2,,104,13
1350,1,8,5,4,3,32,7,10,,,70,4
1351,1,1,2,0,0,4,3,,,,11,0
1352,2,0,2,1,0,0,3,0,0,10,18,1
1353,0,0,0,0,1,1,0,0,0,1,3,0
1354,0,0,0,0,0,0,0,0,0,0,0,0
1355,0,0,0,0,0,0,0,0,0,0,0,0
1356,0,0,1,0,0,4,,,,,5,0
1357,0,5,0,0,1,12,,,1,,19,0
1358,1,1,2,0,1,4,,,1,,10,0
1359,0,4,2,0,1,6,1,,2,,18,0
1360,0,6,12,1,2,2,3,1,3,1,31,1
1361,1,11,15,6,1,1,1,,1,,37,5
1362,1,6,9,8,2,,,,,,26,7
1363,2,9,6,1,1,6,3,,1,11,40,1
1364,0,1,1,0,1,3,1,1,,5,13,0
1365,0,0,2,0,2,4,2,,,3,13,0
1366,0,0,1,0,1,5,,,,3,10,0
1367,0,0,2,0,1,3,,,,3,9,0
1368,0,0,2,1,1,,,,,3,7,1
1369,0,3,7,3,0,1,1,,,3,18,3
1370,0,0,1,1,0,4,1,,,,7,0
1371,1,5,2,0,1,5,1,1,1, ,17,0
1372,0,2,2,0,1,5,2,,,,12,0
1373,0,5,4,2,0,2,1,,,,14,2
1374,0,11,15,1,0,,,,2,3,32,1
1375,1,0,6,2,0,6,,,,3,18,2
1376,0,0,4,1,0,2,,,,3,10,1
1377,0,1,0,2,0,1,,,,3,7,2
1378,0,0,0,2,0,2,,,,,4,2
1379,0,0,1,1,0,1,,,,,3,1
1380,0,0,3,1,0,6,,,1,,11,1
1381,1,2,2,0,0,8,,,1,,14,0
1382,0,8,10,2,0,2,2,,1,,25,2
1383,1,16,5,3,0,6,1,,,,32,2
1384,3,1,3,1,0,1,1,,,,10,0
1385,1,1,0,0,0,,4,,,,6,0
1386,1,1,0,0,0,,,,,1,3,0
1387,5,4,4,0,0,2,,,,1,16,0
1388,0,7,2,0,0,6,,,,1,16,0
1389,0,8,2,2,0,3,,,,2,17,2
1390,0,5,5,2,0,,,,,2,14,2
1391,0,3,4,3,2,,,,1, ,13,3
1392,0,0,4,2,0,,,,,,6,1
1393,0,1,4,0,0,2,,,,,7,0
1394,6,1,4,0,1,3,,,,,15,0
1395,1,0,3,0,0,4,,,,,8,0
1396,1,0,1,0,0,6,,,,,8,0
1397,1,3,5,0,0,3,,,1,,13,0
1398,0,4,3,2,0,4,1,,,,14,1
1399,0,3,8,1,1,2,,,1,,16,0
1400,2,13,10,0,7,1,,,2,,35,0
1401,3,0,8,0,7,2,1,,1,1,23,0
1402,2,2,5,1,1,2,1,2,,1,17,1
1403,0,1,0,0,0,,3,1,,,5,0
1404,0,1,4,0,0,1,3,,,1,10,0
1405,0,1,2,5,0,6,,,,,14,5
1406,0,3,2,4,0,2,,,,1,12,4
1407,0,0,1,4,0,,,,,1,6,4
1408,1,0,1,0,0,1,,,,,3,0
1409,1,1,3,0,2,,,,,,7,0
1410,5,5,4,0,0,2,1,,,,17,0
1411,0,5,4,0,0,1,,,,,10,0
1412,0,0,16,0,0,1,1,,1,,19,0
1413,0,1,5,0,0,2,1,1,,,10,0
1414,2,2,6,0,3,2,,,,,15,0
1415,5,2,4,0,0,1,,,,,12,0
1416,1,4,5,0,0,1,,,2,,13,0
1417,0,2,2,1,0,,,,,1,6,1
1418,0,4,6,1,0,1,,,,1,13,1
1419,0,2,0,1,1,1,1,,,1,7,1
1420,0,2,7,2,0,9,1,,1,1,23,2
1421,0,0,5,0,0,5,2,1,,1,14,0
1422,0,8,3,0,0,,,,1,,12,0
1423,1,6,2,0,1,,,,,,10,0
1424,0,5,3,0,1,1,1,,,1,12,0
1425,0,2,6,0,0,3,2,,,5,18,0
1426,0,0,6,1,0,2,2,,,1,12,1
1427,0,2,4,0,0,2,6,1,1,1,17,0
1428,0,6,5,0,1,5,,,1,,18,0
1429,1,9,3,0,1,1,,,,,15,0
1430,0,3,4,0,0,1,1,,2,,11,0
1431,0,6,1,0,0,,,,1,,8,0
1432,1,2,2,0,0,,1,,,,6,0
1433,0,1,7,2,0,1,,,1,,12,2
1434,0,0,4,1,0,1,,,1,,7,1
1435,1,5,2,2,0,1,,,,,11,1
1436,1,3,2,1,1,2,,,,,10,1
1437,1,2,3,2,1,4,,,1,,14,1
1438,2,7,12,3,8,7,,,1,,40,3
1439,2,6,15,1,3,10,,1,,,38,1
1440,0,1,5,0,0,3,,1,1,,11,0
1441,2,0,7,0,0,,,1,,,10,0
1442,0,0,5,0,0,1,,1,,1,8,0
1443,0,0,3,0,0,,,,,1,4,0
1444,0,1,1,1,0,,,,,,3,1
1445,0,0,1,0,0,,,,,,1,0
1446,0,1,1,0,0,,1,,1,,4,0
1447,0,2,0,5,0,,,,,,7,1
1448,2,8,2,1,1,,,,,,14,1
1449,1,3,3,2,0,3,,,,,12,2
1450,1,7,8,3,1,12,1,,,,33,2
1451,3,3,9,1,0,3,1,1,,,21,1
1452,2,1,10,2,3,2,2,,1,,23,2
1453,0,0,7,1,1,3,,,,,12,1
1454,0,0,8,1,2,,,,,,11,1
1455,0,0,10,1,2,2,,,1,,16,1
1456,1,11,10,0,0,1,4,,4,,31,0
1457,1,12,12,0,0,1,,,2,,28,0
1458,2,2,6,0,1,,,,1,,12,0
1459,0,0,5,0,0,1,,,1,,7,0
1460,0,1,3,0,0,2,,,1,,7,0
1461,0,1,4,0,1,1,,,1,,8,0
1462,0,3,6,0,0,2,,,,,11,0
1463,1,3,11,0,0,11,1,,,,27,0
1464,0,2,16,1,0,7,6,,3,,35,1
1465,1,0,12,2,0,1,4,,1,,22,2
1466,2,1,12,1,0,,4,,1,2,23,1
1467,0,2,10,1,0,1,3,,1,2,20,1
1468,2,7,10,1,1,,,,2,,23,1
1469,0,0,10,1,0,,,,,,11,1
1470,0,0,9,2,0,,,,,,11,1
1471,1,1,9,1,0,,,,,,12,1
1472,0,0,15,2,1,1,2,,1,,22,2
1473,0,0,8,1,2,5,,,,,16,1
1474,0,1,11,1,0,4,2,,,,19,1
1475,3,0,5,5,0,3,,,1,,17,5
1476,4,6,3,2,0,,,,,,15,2
1477,1,4,2,1,0,1,,,,,9,1
1478,2,22,15,7,0,,,,1,1,48,4
1479,1,2,14,1,1,1,,,3,,21,1
1480,1,4,13,1,0,1,1,,3,,24,1
1481,1,6,19,0,1,2,1,,1,,31,0
1482,0,4,27,1,1,5,4,,2,,44,1
1483,1,4,22,0,0,8,2,,1,,38,0
1484,2,5,15,1,1,5,1,1,,,31,1
1485,2,10,16,1,0,,,,1,,30,1
1486,3,10,5,1,0,1,,,2,,22,1
1487,0,1,2,1,6,1,,,,1,12,1
1488,2,0,4,0,3,,,,,1,10,0
1489,1,0,5,0,5,,,,,,11,0
1490,3,2,8,0,1,1,,,,,15,0
1491,0,1,6,1,0,1,,,1,,10,1
1492,0,0,10,0,0,3,,,,,13,0
1493,2,5,10,1,1,2,,1,,,22,1
1494,1,4,18,0,1,4,1,,1,,30,0
1495,4,2,10,1,1,5,2,1,2,,28,1
1496,0,1,9,1,0,6,2,,1,,20,1
1497,1,6,9,0,0,2,1,,3,,22,0
1498,0,1,15,1,0,,,,,,17,1
1499,0,9,11,3,0,,,,,,23,3
1500,1,4,10,8,0,4,,,3,,30,8
1501,4,6,15,2,0,6,,1,,,34,2
1502,2,1,30,1,3,9,,,2,,48,1
1503,1,6,15,3,1,5,,1,1,,33,3
1504,1,4,6,2,0,4,,,1,,18,1
1505,0,6,12,3,0,3,2,,,,26,3
1506,15,4,19,1,1,3,1,,,1,45,1
1507,17,0,17,0,0,1,1,,1,1,38,0
1508,2,0,17,2,0,2,1,1,,1,20,2
1509,0,1,6,0,0,,1,,3,,11,0
1510,7,1,7,1,1,,1,,2,,20,1
1511,0,4,6,3,1,2,,,1,,17,3
1512,0,2,4,3,3,2,2,,,,16,3
1513,0,3,6,4,2,,2,,,,17,4
1514,0,3,9,1,6,,1,,,,20,1
1515,1,0,16,3,4,1,3,,,,28,3
1516,3,1,21,1,3,5,2,,,,36,1
1517,2,1,16,3,0,4,,,,,26,3
1518,4,0,22,3,3,4,,,,,36,3
1519,4,1,26,4,1,7,,,,,43,3
1520,2,0,11,8,3,9,1,,1,,35,5
1521,2,0,29,3,1,5,,,1,,41,2
1522,2,14,34,1,1,3,,,2,,57,0
1523,3,13,24,1,1,1,,,2,3,48,0
1524,4,17,17,1,1,,,,2,,42,0
1525,0,19,11,2,1,3,1,,1,,38,2
1526,0,22,11,3,0,4,,,4,,44,3
1527,2,18,10,2,0,2,,,3,1,38,2
1528,2,17,6,2,0,4,1,,1,,34,2
1529,0,6,14,4,1,6,,,4,,36,4
1530,4,4,19,3,2,4,,,2,,38,3
1531,2,1,26,2,2,,3,,1,,37,2
1532,0,1,15,4,2,2,,1,2,1,28,4
1533,6,1,14,2,2,2,,,1,1,27,2
1534,0,0,6,0,0,3,,,1,,10,0
1535,0,0,4,5,0,6,,,,,15,3
1536,0,1,1,7,1,3,1,,,,13,7
1537,0,1,3,16,1,3,1,,,,25,16
1538,0,0,1,5,0,3,,,,,10,5
1539,0,0,2,2,1,5, ,,1,,11,2
1540,1,0,0,3,1,7,1,,,,13,3
1541,0,0,3,0,1,7, ,,,,11,0
1542,1,0,10,1,1,12,1,,,,26,1
1543,1,0,5,6,1,7,3,,2,1,26,6
1544,0,0,15,10,1,2,1,,1,,30,10
1545,0,0,20,11,1,1, ,,1,,34,11
1546,0,0,17,13,1,,2,,,,33,13
1547,1,1,16,9,0,6,1,,,,34,4
1548,1,0,9,13,0,5,2,1,,,31,13
1549,0,0,7,7,0,2,9,1,,,26,7
1550,0,1,4,5,0,1, ,,,,11,5
1551,2,1,3,4,1,4,1,,1,,17,4
1552,1,1,4,1,0,5,2,,,3,17,1
1553,0,0,3,0,3,1,1,,3,2,13,0
1554,0,0,6,0,5,,1,,2,1,15,0
1555,0,2,11,2,7,3,4,,2,,31,2
1556,1,5,7,2,2,,2,,3,,22,2
1557,2,0,13,6,11,,,,,,32,6
1558,3,0,10,5,3,,,,,,21,5
1559,1,0,3,6,1, ,6,,,,17,6
1560,3,1,6,2,0,2,,,,,14,2
1561,0,0,7,1,0,1,,,1,2,12,1
1562,1,0,15,2,0,6,1,,2,,27,2
1563,1,0,31,12,0,10,,,,1,55,12
1564,3,4,36,10,3,12,6,,1,1,76,10
1565,1,1,16,2,1,10,3,1,,1,36,1
1566,0,1,13,2,2,12,1,,,5,36,1
1567,0,1,7,1,1,3,1,,,1,15,0
1568,1,1,7,1,1,4,1,,,,16,1
1569,3,0,6,3,1,1,1,,,,15,3
1570,4,0,3,5,1,4,,,2,,19,5
1571,1,1,3,3,3,7,2,,1,1,22,3
1572,0,3,6,1,0,6,2,1,4,1,24,1
1573,0,1,5,3,5,2,2,,1,,19,3
1574,0,1,3,12,7,1,,,,,24,12
1575,1,10,3,18,3,7,1,3,,,46,11
1576,1,12,10,7,1,7,,,,,38,7
1577,0,14,8,12,1,6,,,5,,46,12
1578,0,3,15,24,6,5,2,,3,,58,24
1579,1,6,13,16,4,4,,2,,,46,16
1580,16,3,26,15,2,3,3,2,,,70,15
1581,12,1,25,5,3,3,,,,,49,5
1582,2,1,27,5,2,12,,,,,49,5
1583,0,1,24,4,2,5,,,1,,37,4
1584,4,1,24,10,2,6,,,,2,49,10
1585,4,0,24,6,1,6,3,,,,44,6
1586,4,1,42,9,1,6,1,,,,64,9
1587,5,0,34,14,2,3,1,,,,59,14
1588,0,0,28,9,1,1,5,1,1,1,47,9
1589,1,0,12,3,1,1,3,3,1,,25,3
1590,2,2,3,11,0,2,1,3,,,24,11
1591,0,5,3,4,1,3,2,,,,18,4
1592,7,3,10,17,0,2,1,,,2,42,17
1593,0,1,7,27,1,2,1,,,,39,27
1594,2,0,7,7,2,2,,,,,20,7
1595,2,0,8,2,0,1,,,,,13,2
1596,6,0,24,5,2,8,,,1,,45,5
1597,8,0,19,34,0,13,,,,,74,34
1598,18,5,21,24,0,7,1,,,,76,24
1599,44,5,13,7,0,10,1,,,,80,7
1600,10,0,6,1,0,2,1,,,,20,1
1601,2,2,4,6,0,3,9,,,,26,6
1602,15,0,8,13,2,,7,2,,1,48,13
1603,1,0,13,36,3,,9,2,1,,65,36
1604,1,0,9,48,3,3,2,,,,66,46
1605,0,0,8,25,4,12,1,,, ,50,22
1606,0,0,14,18,3,18,,,,1,54,17
1607,1,0,14,6,1,10,1,,1,,34,5
1608,0,0,8,11,1,10,,,1,,31,10
1609,1,0,3,16,1,14,1,,,,37,16
1610,0,0,6,21,0,6,1,,,,34,21
1611,0,0,1,8,1,15,1,,,,26,8
1612,0,1,6,0,1,2,1,,,,11,0
1613,1,1,2,0,1,6,,,,,11,0
1614,0,0,1,0,1,2,,,,,4,0
1615,0,0,1,1,2,11,,,,,15,1
1616,0,0,1,0,2,2,,,,,5,0
1617,0,0,3,2,3,,1,,,,9,2
1618,0,0,3,3,0,1,3,1,,,11,3
1619,0,0,11,0,0,,,1,1,,13,0
1620,0,0,8,0,0,4,3,,,,15,0
1621,0,0,9,1,0,8,1,,,,19,1
1622,0,0,10,1,2,2,3,,,1,19,1
1623,0,1,12,4,4,6,2,1,,,30,4
1624,0,4,18,4,8,20,15,1,6,,76,4
1625,0,1,23,63,9,16,9,2,2,,125,63
1626,0,0,21,18,10,18,,,,,67,18
1627,0,0,21,11,5,6,,,,,43,11
1628,0,0,57,0,2,14,2,,,,75,0
1629,1,3,66,4,2,5,13,2,1,,97,4
1630,4,34,65,11,2,5,5,3,2,1,132,11
1631,1,21,52,23,1,3,7,,,,108,23
1632,0,4,32,1,3,8,1,,,,49,1
1633,0,2,12,0,6,8,,,1,,29,0
1634,0,2,15,0,10,19,1,,,,47,0
1635,0,0,16,12,11,24,,,,,63,12
1636,1,3,42,16,13,15,,1,,,91,16
1637,1,2,26,29,6,10,1,,,,75,29
1638,4,1,17,29,6,5,3,1,,,66,17
1639,0,1,17,13,0,5,4,3,,,43,13
1640,0,1,21,2,0,3,1,1,,,29,2
1641,0,0,6,13,0,1,1,,,,21,13
1642,0,0,3,6,0,,,,,,9,6
1643,0,0,4,4,0,,,,,,8,4
1644,0,0,1,26,0,1,,,,,28,26
1645,0,0,2,45,1,3,,,,1,52,45
1646,5,1,3,37,1,2,,1,1,,51,37
1647,8,0,4,28,1,4,,,1,,46,28
1648,20,1,5,6,0,1,,,2,,0,6
1649,24,0,7,3,0,3,,,2,1,0,1
1650,8,0,11,12,1,,3,,,,35,11
1651,11,0,5,5,3,1,1,2,,,28,5
1652,11,3,15,2,3,,2,1,,,37,2
1653,3,1,12,0,1,2,6,1,,1,27,0
1654,3,1,5,2,2,1,8,3,1,9,35,2
1655,3,3,2,0,3,3,5,,,1,20,0
1656,0,37,1,0,0,2,8,,,2,50,0
1657,1,5,2,0,1,7,9,1,1,,27,0
1658,0,0,0,0,1,,5,,,,6,0
1659,1,0,1,0,0,,7,2,,,11,0
1660,1,0,1,1,0,,9,1,2,,5,1
1661,0,0,1,1,0,,2,,,,4,1
1662,0,0,2,0,0,,2,,,,4,0
1663,0,1,1,0,1,3,1,,,,7,0
1664,0,0,3,3,18,7, ,,,,31,3
1665,0,0,4,72,5,20,1,,,,102,72
1666,2,0,3,46,9,25, ,,,,85,46
1667,2,0,5,5,10,9,4,,,,35,5
1668,0,0,14,1,9,2, ,,,,26,1
1669,0,0,11,0,6,,1,,,,18,0
1670,0,0,4,0,2,1,1,1,,,9,0
1671,0,0,0,0,0,,,,,,0,0
1672,0,0,0,0,0,,1,,,,1,0
1673,0,0,0,0,0,,1,,,,1,0
1674,0,0,0,0,0,,1,,,,1,0
1675,0,2,0,0,0,1,2,,1,,6,0
1676,0,1,0,0,0,1,1,,1,,4,0
1677,2,0,0,0,0,3,5,,1,,11,0
1678,11,0,1,0,0,4,2,,2,,20,0
1679,1,0,0,0,0,24,1,,,,26,0
1680,12,0,0,0,0,11,,,,,23,0
1681,14,0,1,0,0,4,,,,,19,0
1682,5,1,0,0,0,9,,,,,5,0
1683,0,0,0,0,0,2,,,,,2,0
1684,0,0,0,0,0,,,,,,0,0
1685,0,0,0,0,0,,,,,,0,0
1686,0,0,0,0,0,,,,,,0,0
1687,0,0,0,0,0,,,,,,0,0
1688,0,0,0,0,0,,,,, ,1,0
1689,0,0,1,0,0,,,,, ,1,0
1690,0,0,0,0,0,,,,1, ,1,0
1691,0,2,0,0,0,1,,,2,,5,0
1692,0,2,0,0,0,1,,,2,,1,0
1693,0,0,0,0,0,,,,,,0,0
1694,0,0,0,0,0,,,,,,0,0
1695,0,0,0,0,0,,,,,,0,0
1696,0,0,0,0,0,,,,,,0,0
1697,0,0,0,0,0,,,,,,0,0
1698,0,0,0,0,0,,,,,,0,0
1699,0,0,0,0,0,,,,,,0,0
1700,0,0,0,0,0,,,,,,0,0
1701,0,0,0,0,0,,,,1,,1,0
1702,0,0,0,0,0,,1,,1,,2,0
1703,0,0,0,0,0,,,,1,,1,0
1704,0,0,0,0,0,,6,,1,,7,0
1705,0,1,0,0,0,,1,,1,,3,0
1706,0,0,0,0,0,,1,,1,,2,0
1707,0,0,0,0,0,,5,,2,,7,0
1708,0,0,0,0,0,6,14,,2,,22,0
1709,0,0,0,0,0,2,11,,2,,15,0
1710,0,0,0,0,0,4,22,6,4,5,41,0
1711,0,0,0,0,0,1,5,6,3,2,17,0
1712,0,0,0,0,0,3,1,2,1,,7,0
1713,0,0,0,0,0,5,,,3,,8,0
1714,0,3,0,0,0,,,,1,,4,0
1715,0,0,0,0,0,1,,,,,1,0
1716,0,0,0,0,0,1,,,,,1,0
1717,0,0,0,0,0,,,,1,,1,0
1718,0,0,0,0,0,,3,,1,1,5,0
1719,0,0,0,0,0,,3,,2,,5,0
1720,0,0,10,0,0,,,,,,10,0
1721,0,0,12,0,0,,1,,,,13,0
1722,0,0,5,0,0,,2,,,,7,0
1723,0,0,0,0,0,,,,,,0,0
1724,0,0,0,0,0,,,,,,0,0
1725,0,0,0,0,0,,,,,,0,0
1726,0,0,0,0,0,,,,,,0,0
1727,0,0,0,0,0,,,,,,0,0
1728,0,0,0,0,0,,,,,,0,0
1729,0,0,0,0,0,,,,,,0,0
1730,0,0,0,0,0,,4,,1,,5,0
1731,0,0,0,0,0,,,,,,0,0
1732,0,0,0,0,0,,,,,,0,0
1733,0,0,0,0,0,,,,,,0,0
1734,0,0,0,0,0,,,,,,0,0
1735,0,0,0,0,0,,,,,,0,0
1736,0,0,0,0,0,,1,,,,1,0
1737,0,0,0,0,0,,1,,1, ,2,0
1738,0,0,0,0,0,,2,,4, ,6,0
1739,0,0,0,0,0,,1,,5, ,6,0
1740,0,0,0,0,0,,1,,1, ,2,0
1741,0,0,0,0,0,,,,1, ,1,0
1742,0,2,0,0,0,,,,3, ,5,0
1743,0,2,0,0,0,,,,1, ,3,0
1744,0,2,0,0,0,,,,,,2,0
1745,0,0,0,0,0,,,,,,0,0
1746,0,0,0,0,0,,,,,,0,0
1747,0,0,0,0,0,,,,,,0,0
1748,0,0,0,0,0,,,,,,0,0
1749,0,0,0,0,0,,,,1, ,1,0
1750,0,0,0,0,0,,,,1, ,1,0
1751,0,0,0,0,0,,,,1, ,1,0
1752,0,0,0,0,0,,,,1, ,1,0
1753,0,0,0,0,0,,,,2, ,2,0
1754,0,0,0,0,0,,,,,,0,0
1755,0,0,0,0,0,,,,3, ,3,0
1756,0,0,0,0,0,,3,,1, ,4,0
1757,0,0,0,0,0,,,,1, ,1,0
1758,0,0,0,0,0,,,,,,0,0
1759,0,0,0,0,0,,,,,,0,0
1760,0,0,0,0,0,,,,1,,1,0
1761,0,0,0,0,0,,,,1,,1,0
1762,0,0,0,0,0,,,,2,,2,0
1763,0,0,0,0,0,,,,2,,2,0
1764,0,0,0,0,0,,1, ,,,1,0
1765,0,0,0,0,0,,,, ,,0,0
1766,0,0,0,0,0,,,,1,,1,0
1767,0,0,0,0,0,,,,,,0,0
1768,0,0,0,0,0,,,,1,,1,0
1769,0,0,0,0,0,,3, ,,,3,0
1770,0,0,0,0,0,,1,,5,7,13,0
1771,0,0,0,0,0,,,,,7,7,0
1772,0,0,0,0,0,,,,,1,1,0
1773,0,0,0,0,0,,,,,1,1,0
1774,0,0,0,0,0,,,,,1,1,0
1775,0,0,0,0,0,,,,,,0,0
1776,0,0,0,0,0,,,,,,0,0
1777,0,0,0,0,0,,,,,,0,0
1778,0,0,0,0,0,,,,1,,1,0
1779,0,0,0,0,0,,,,,,0,0
1780,0,0,0,0,0,,1,,,,1,0
1781,0,0,0,0,0,,,,,,0,0
1782,0,0,0,0,0,,,,,,0,0
1783,0,0,0,0,0,,,,1,,1,0
1784,0,0,0,0,0,,,,1,,1,0
1785,0,0,0,0,0,,,,2,,2,0
1786,0,0,0,0,0,,1,,1,,2,0
1787,0,0,0,0,0,,,,,,0,0
1788,0,0,0,0,0,,,,,,0,0
1789,0,0,0,0,0,,,,,,0,0
1790,0,0,0,0,0,,,,,,0,0
1791,0,0,0,0,0,,,,,,0,0
1792,0,0,0,0,0,,,,,,0,0
1793,0,0,0,0,0,,,,1,,1,0
1794,0,0,0,0,0,,,,,,0,0
1795,0,0,0,0,0,,,,,,0,0
1796,0,0,0,0,0,,1,,,,1,0
1797,0,0,0,0,0,,3,,,,3,0
1798,0,0,0,0,0,,,,,,0,0
1799,0,0,0,0,0,,,,,,0,0
1800,0,0,0,0,0,,,,,,0,0
1801,0,0,0,0,0,,,,,,0,0
1802,0,0,0,0,0,,,,,,0,0
1803,0,0,0,0,0,,,,,,0,0
1804,0,0,0,0,0,,,,,,0,0
1805,0,0,0,0,0,,,,,,0,0
1806,0,0,0,0,0,,,,,,0,0
1807,0,0,0,0,0,,,,,,0,0
1808,0,0,0,0,0,,,,,,0,0
1809,0,0,0,0,0,,,,,,0,0
1810,0,0,0,0,0,,,,,,0,0
1811,0,0,0,0,0,,,,,,0,0
1812,0,0,0,0,0,,,,,,0,0
1813,0,1,0,0,0,,,,,,1,0
1814,0,2,0,0,0,,,,,,2,0
1815,0,2,0,0,0,,,,4,,6,0
1816,0,2,0,0,0,,,,1,,3,0
1817,0,0,0,0,0,,,,,,0,0
1818,0,0,0,0,0,,,,,,0,0
1819,0,0,0,0,0,,,,,,0,0
1820,0,0,0,0,0,,,,,,0,0
1821,0,0,0,0,0,,,,,,0,0
1822,0,0,0,0,0,,,,,,0,0
1823,0,0,0,0,0,,,,,,0,0
1824,0,0,0,0,0,,,,,,0,0
1825,0,0,0,0,0,,,,,,0,0
1826,0,0,0,0,0,,,,1,,1,0
1827,0,0,0,0,0,,,,,,0,0
1828,0,0,0,0,0,,,,3,,3,0
1829,0,0,0,0,0,,,,1,,1,0
